Designator,Mid X,Mid Y,Rotation,Layer
BT1,47.0,2.8,180.0,bottom
C1,58.555,-13.475,270.0,top
C2,52.205,-13.475,270.0,top
C3,79.375,8.89,180.0,top
C4,75.572,13.335,180.0,top
C5,75.572,11.43,180.0,top
C6,83.82,10.26,180.0,top
J1,79.24,0.0,180.0,top
J2,82.35,-6.35,180.0,bottom
JP1,77.97,-9.66,180.0,bottom
L1,61.73,-12.975,270.0,top
M1,10.16,0.0,90.0,top
MCU1,10.66,0.0,180.0,bottom
Q2,11.7325,11.94,180.0,top
R1,16.51,13.035,270.0,top
R2,19.05,13.035,270.0,top
R5,8.89,12.065,270.0,top
R6,6.985,12.065,90.0,top
R7,83.82,8.69,0.0,top
SW1,68.58,0.0,0.0,top
SW2,56.49,0.0,0.0,top
SW3,72.74,-13.8,180.0,bottom
U1,55.38,-13.475,180.0,top
U2,79.375,12.4,180.0,top
U3,86.66,9.76,270.0,top
