BT1:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
J1:1
J2:1
JP1:1
L1:1
M1:1
MCU1:1
Pad:6
Q2:1
R1:1
R2:1
R5:1
R6:1
R7:1
REF**:4
SW1:1
SW2:1
SW3:1
U1:1
U2:1
U3:1
